phase,layer,auroc_mean,auroc_std,bal_acc_mean
final_prompt,23,1.0,0.0,1.0
final_prompt,22,1.0,0.0,0.9958333333333333
final_prompt,21,1.0,0.0,1.0
final_prompt,20,1.0,0.0,0.9916666666666666
post_selector,32,1.0,0.0,0.9958333333333333
post_selector,33,1.0,0.0,0.9916666666666666
post_selector,26,1.0,0.0,1.0
post_selector,27,1.0,0.0,0.9958333333333333
post_selector,20,1.0,0.0,1.0
post_selector,21,1.0,0.0,1.0
post_selector,22,1.0,0.0,1.0
post_selector,23,1.0,0.0,1.0
post_selector,16,1.0,0.0,1.0
post_selector,17,1.0,0.0,1.0
post_selector,18,1.0,0.0,1.0
post_selector,19,1.0,0.0,1.0
final_prompt,31,1.0,0.0,0.9791666666666667
final_prompt,30,1.0,0.0,0.9875
final_prompt,29,1.0,0.0,0.9875
final_prompt,28,1.0,0.0,0.9875
final_prompt,27,1.0,0.0,0.9916666666666666
final_prompt,26,1.0,0.0,0.9958333333333333
final_prompt,25,1.0,0.0,0.9916666666666666
final_prompt,24,1.0,0.0,0.9916666666666666
post_selector,25,1.0,0.0,1.0
post_selector,24,1.0,0.0,1.0
post_selector,29,1.0,0.0,0.9958333333333333
post_selector,28,1.0,0.0,0.9958333333333333
post_selector,31,1.0,0.0,0.9958333333333333
post_selector,30,1.0,0.0,0.9958333333333333
response_first,25,1.0,0.0,0.996875
response_first,24,1.0,0.0,0.98125
response_first,32,1.0,0.0,0.9875
response_first,31,1.0,0.0,0.9875
response_mean,25,1.0,0.0,1.0
response_mean,24,1.0,0.0,0.9958333333333333
response_mean,21,1.0,0.0,0.9958333333333333
response_mean,23,1.0,0.0,1.0
response_mean,19,1.0,0.0,1.0
public_task_span,21,1.0,0.0,0.9833333333333332
response_first,23,1.0,0.0,0.9927083333333334
response_first,22,1.0,0.0,0.984375
response_first,30,1.0,0.0,0.9958333333333333
response_first,29,1.0,0.0,1.0
response_first,27,1.0,0.0,0.9927083333333334
response_first,26,1.0,0.0,0.9927083333333334
final_prompt,32,0.9996527777777778,0.0007764124921874118,0.975
final_prompt,19,0.9996527777777778,0.0007764124921873978,0.9916666666666668
response_mean,22,0.9996527777777778,0.0007764124921873978,0.9958333333333333
response_mean,20,0.9996527777777778,0.0007764124921873978,0.9916666666666666
public_task_span,22,0.9996527777777778,0.0007764124921873978,0.9833333333333334
response_first,28,0.9996527777777778,0.0007764124921874118,0.9927083333333334
response_first,33,0.9996527777777778,0.0007764124921874118,0.9927083333333334
post_selector,35,0.9993055555555556,0.0015528249843748485,0.9916666666666666
post_selector,34,0.9993055555555556,0.0015528249843748485,0.9916666666666666
post_selector,14,0.9993055555555556,0.0009509072178908661,0.9916666666666668
response_mean,26,0.9993055555555556,0.0015528249843748422,0.9958333333333333
response_first,21,0.9993055555555556,0.0009509072178908704,0.9760416666666666
response_first,34,0.9989583333333334,0.002329237476562257,0.9927083333333334
response_mean,27,0.9989583333333334,0.002329237476562257,0.9833333333333334
response_mean,28,0.9989583333333334,0.002329237476562257,0.9875
response_first,20,0.9986111111111111,0.002263611946250914,0.975
response_first,35,0.9986111111111111,0.003105649968749739,0.9885416666666667
final_prompt,34,0.9986111111111111,0.0019018144357818541,0.975
final_prompt,35,0.9986111111111111,0.0022636119462509244,0.9666666666666668
final_prompt,33,0.9986111111111111,0.0019018144357818541,0.975
response_mean,30,0.998263888888889,0.0038820624609371534,0.9760416666666668
response_mean,29,0.998263888888889,0.0038820624609371534,0.9791666666666667
response_mean,31,0.9980685763888889,0.0037965027736624013,0.971875
response_mean,32,0.9979166666666666,0.004658474953124589,0.9760416666666666
response_mean,33,0.9977213541666666,0.004568902619667399,0.9802083333333333
public_task_span,20,0.9975694444444445,0.004527223892501861,0.9416666666666668
response_mean,34,0.9973741319444445,0.005342465882121293,0.9760416666666666
public_task_span,23,0.9972222222222221,0.003996827928201871,0.9666666666666668
post_selector,15,0.9972222222222221,0.00529442732013087,0.9791666666666667
response_mean,18,0.996875,0.006987712429686846,0.959375
post_selector,13,0.996875,0.005265885725035805,0.9708333333333334
response_mean,35,0.9957899305555555,0.00836503392454781,0.959375
public_task_span,24,0.9954861111111111,0.004527223892501849,0.95
final_prompt,18,0.99375,0.008012486638343287,0.9354166666666668
public_task_span,19,0.992013888888889,0.012851913557862304,0.9291666666666668
public_task_span,25,0.990625,0.009316949906249128,0.9208333333333332
response_first,19,0.990625,0.02096313728906053,0.95625
public_task_span,26,0.9836805555555556,0.01386717051924708,0.9166666666666667
post_selector,12,0.98125,0.027074428735580414,0.9458333333333334
public_task_span,27,0.9760416666666666,0.02534960034506106,0.925
public_task_span,28,0.9743055555555555,0.02625491392865789,0.9166666666666667
public_task_span,18,0.9739800347222223,0.031194227393567038,0.890625
response_first,18,0.9638888888888889,0.05344572305152208,0.9
public_task_span,29,0.9583333333333334,0.03656152723724422,0.8833333333333332
public_task_span,30,0.9527777777777778,0.03853619205362449,0.8708333333333333
public_task_span,31,0.945486111111111,0.03826540126069473,0.8833333333333332
public_task_span,17,0.9423828125,0.05359638984883743,0.7979166666666666
public_task_span,32,0.9416666666666667,0.04367277134313922,0.875
public_task_span,33,0.9416666666666667,0.04791792470168182,0.8625
public_task_span,16,0.9404296875,0.05797774913847728,0.78125
public_task_span,15,0.9374348958333334,0.05495829069971258,0.7677083333333333
post_selector,11,0.9286675347222222,0.06111646301262108,0.86875
public_task_span,34,0.923068576388889,0.07052826187457115,0.8479166666666667
response_first,17,0.923025173611111,0.08471340835390023,0.7802083333333333
public_task_span,35,0.9164713541666666,0.07688176068025093,0.8354166666666666
response_mean,16,0.9042534722222222,0.08153001258353355,0.74375
response_mean,17,0.9029296875,0.0804001899373506,0.7302083333333333
public_task_span,14,0.9023654513888889,0.0872180007377339,0.7322916666666667
final_prompt,17,0.8984809027777778,0.050173029150075515,0.7770833333333333
response_first,16,0.8650390625,0.09949940077525925,0.7447916666666666
response_mean,15,0.8439887152777779,0.06974896948430524,0.7072916666666667
final_prompt,16,0.8241319444444445,0.084486380531837,0.728125
post_selector,10,0.792795138888889,0.10624003533293104,0.715625
response_first,15,0.7815972222222223,0.09007221521909689,0.6541666666666666
post_selector,8,0.7298177083333333,0.05149634870552442,0.6395833333333334
post_selector,9,0.7248480902777777,0.07547656012392635,0.6520833333333333
response_mean,14,0.7130859375,0.09265096590472732,0.5520833333333333
response_first,14,0.7039713541666667,0.03502610217234553,0.56875
post_selector,7,0.6958333333333334,0.1041478570980569,0.65
post_selector,6,0.6657769097222223,0.10014527917590216,0.628125
post_selector,5,0.6550130208333333,0.09106892888606467,0.6114583333333334
post_selector,3,0.644357638888889,0.08259059374560013,0.6072916666666666
post_selector,4,0.6343315972222222,0.07283427109297687,0.6197916666666667
public_task_span,13,0.63046875,0.033948075769858865,0.5895833333333333
final_prompt,15,0.6262152777777777,0.02433344134457258,0.5833333333333334
response_first,12,0.6220920138888889,0.04210170119787114,0.5697916666666667
response_mean,13,0.6135416666666667,0.04783529599591676,0.5572916666666666
response_first,13,0.6019314236111111,0.03220624300952881,0.534375
post_selector,2,0.5845920138888889,0.05321762885595664,0.5458333333333334
post_selector,1,0.5667751736111111,0.1036959602351218,0.5364583333333334
response_first,11,0.5615234375,0.03465247035819226,0.515625
response_mean,12,0.5612630208333333,0.029091559693417795,0.5208333333333333
public_task_span,12,0.5584852430555556,0.023633848723583834,0.534375
final_prompt,14,0.5556206597222222,0.0346478492223572,0.5125
public_task_span,9,0.5467013888888889,0.038304764918115575,0.5177083333333334
public_task_span,8,0.5439236111111111,0.029460224905218345,0.5020833333333333
post_selector,0,0.5404079861111111,0.07316046430914178,0.5041666666666667
response_mean,11,0.5393446180555556,0.028679064859972764,0.521875
public_task_span,11,0.5372612847222222,0.03621236186136131,0.5125
response_first,3,0.5345486111111111,0.011522599656975763,0.540625
public_task_span,10,0.5344401041666667,0.01717901737663893,0.509375
