phase,layer,n_pairs,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p
pre_selector,0,0,0.0,0.0,0.0,0.0,1.0
pre_selector,1,0,0.0,0.0,0.0,0.0,1.0
pre_selector,2,0,0.0,0.0,0.0,0.0,1.0
pre_selector,3,0,0.0,0.0,0.0,0.0,1.0
pre_selector,4,0,0.0,0.0,0.0,0.0,1.0
pre_selector,5,0,0.0,0.0,0.0,0.0,1.0
pre_selector,6,0,0.0,0.0,0.0,0.0,1.0
pre_selector,7,0,0.0,0.0,0.0,0.0,1.0
pre_selector,8,0,0.0,0.0,0.0,0.0,1.0
pre_selector,9,0,0.0,0.0,0.0,0.0,1.0
pre_selector,10,0,0.0,0.0,0.0,0.0,1.0
pre_selector,11,0,0.0,0.0,0.0,0.0,1.0
pre_selector,12,0,0.0,0.0,0.0,0.0,1.0
pre_selector,13,0,0.0,0.0,0.0,0.0,1.0
pre_selector,14,0,0.0,0.0,0.0,0.0,1.0
pre_selector,15,0,0.0,0.0,0.0,0.0,1.0
pre_selector,16,0,0.0,0.0,0.0,0.0,1.0
pre_selector,17,0,0.0,0.0,0.0,0.0,1.0
pre_selector,18,0,0.0,0.0,0.0,0.0,1.0
pre_selector,19,0,0.0,0.0,0.0,0.0,1.0
pre_selector,20,0,0.0,0.0,0.0,0.0,1.0
pre_selector,21,0,0.0,0.0,0.0,0.0,1.0
pre_selector,22,0,0.0,0.0,0.0,0.0,1.0
pre_selector,23,0,0.0,0.0,0.0,0.0,1.0
pre_selector,24,0,0.0,0.0,0.0,0.0,1.0
pre_selector,25,0,0.0,0.0,0.0,0.0,1.0
pre_selector,26,0,0.0,0.0,0.0,0.0,1.0
pre_selector,27,0,0.0,0.0,0.0,0.0,1.0
pre_selector,28,0,0.0,0.0,0.0,0.0,1.0
pre_selector,29,0,0.0,0.0,0.0,0.0,1.0
pre_selector,30,0,0.0,0.0,0.0,0.0,1.0
pre_selector,31,0,0.0,0.0,0.0,0.0,1.0
pre_selector,32,0,0.0,0.0,0.0,0.0,1.0
pre_selector,33,0,0.0,0.0,0.0,0.0,1.0
pre_selector,34,0,0.0,0.0,0.0,0.0,1.0
pre_selector,35,0,0.0,0.0,0.0,0.0,1.0
post_selector,0,128,5.0932728877145985,0.011761146577640493,0.005713715715220831,0.5703125,0.009950248756218905
post_selector,1,128,6.813685790557296,0.01017286418904855,0.0035404498213755507,0.6015625,0.004975124378109453
post_selector,2,128,8.082944434548427,0.010210268203400551,0.004418507958272441,0.625,0.004975124378109453
post_selector,3,128,10.15667525104602,0.013647935274887788,0.0065025267124962875,0.515625,0.11940298507462686
post_selector,4,128,13.665543162327012,0.014613264603480653,0.0077538427753836925,0.5546875,0.07462686567164178
post_selector,5,128,17.3159907170569,0.014356800107069183,0.006995743761072133,0.578125,0.13432835820895522
post_selector,6,128,20.133219534223322,0.013875447422173384,0.006173210408452976,0.578125,0.06965174129353234
post_selector,7,128,21.61002282898103,0.014201385174025132,0.005349785723860391,0.5703125,0.0945273631840796
post_selector,8,128,23.290320946202005,0.017114077355144596,0.00685857918707969,0.5703125,0.024875621890547265
post_selector,9,128,28.190513480850107,0.01841826974559112,0.00686602892568095,0.5625,0.06467661691542288
post_selector,10,128,27.80371769933322,0.02109637164337373,0.008364223823446777,0.5703125,0.029850746268656716
post_selector,11,128,30.85664295823066,0.04001544244987178,0.030065510192629954,0.7109375,0.004975124378109453
post_selector,12,128,32.16442469776608,0.20896543818325644,0.20205514754787945,0.96875,0.004975124378109453
post_selector,13,128,36.86414217680987,0.22747041292760833,0.2195174646116017,0.96875,0.004975124378109453
post_selector,14,128,34.56943097137991,0.22151982454904842,0.21274622182147,0.9921875,0.004975124378109453
post_selector,15,128,36.842139198103105,0.21998949482178778,0.20959204068880627,0.9765625,0.004975124378109453
post_selector,16,128,40.75264161835448,0.3464389647963009,0.3369981545692937,1.0,0.004975124378109453
post_selector,17,128,43.93834596697654,0.3658763899143834,0.3544194871590898,1.0,0.004975124378109453
post_selector,18,128,49.92975723921329,0.407243421392914,0.3947937419287903,1.0,0.004975124378109453
post_selector,19,128,59.73123359030386,0.4697325303269694,0.4572566592474484,1.0,0.004975124378109453
post_selector,20,128,65.3304981690505,0.4497972657261094,0.4372957017529001,1.0,0.004975124378109453
post_selector,21,128,74.89393972594834,0.44295590136547974,0.4311774110242121,1.0,0.004975124378109453
post_selector,22,128,86.82385592537871,0.38886391742626486,0.3782863924684277,1.0,0.004975124378109453
post_selector,23,128,96.63568658715202,0.3805027577736066,0.3698375578407497,1.0,0.004975124378109453
post_selector,24,128,108.84089449331702,0.3586863164961976,0.3476252645985344,1.0,0.004975124378109453
post_selector,25,128,119.92765415239205,0.33423737977158074,0.32344611896154746,1.0,0.004975124378109453
post_selector,26,128,133.75688148082702,0.3144783968769992,0.3036272097488045,1.0,0.004975124378109453
post_selector,27,128,152.82297288456226,0.28893864213028964,0.27832815167425007,1.0,0.004975124378109453
post_selector,28,128,173.8312392039009,0.27000232539519314,0.2592373069488962,0.9921875,0.004975124378109453
post_selector,29,128,195.56359891211187,0.25723349077008556,0.24605566932211848,0.984375,0.004975124378109453
post_selector,30,128,229.06577609073724,0.24028624419195785,0.22908165091319385,0.984375,0.004975124378109453
post_selector,31,128,263.5074084546236,0.2265227958107236,0.21542705954117836,0.984375,0.004975124378109453
post_selector,32,128,293.0459826058938,0.22101458356947468,0.20948085724021004,0.984375,0.004975124378109453
post_selector,33,128,356.49647695725173,0.19946357701982678,0.18791439199478688,0.984375,0.004975124378109453
post_selector,34,128,426.9704093453195,0.2014344910614973,0.18987585059079903,0.984375,0.004975124378109453
post_selector,35,128,81.88574978527842,0.18229806634243115,0.17122765942680435,0.9375,0.004975124378109453
public_task_span,0,128,0.080800766340263,0.022397187957165145,-0.0027028091222648107,0.484375,0.7114427860696517
public_task_span,1,128,0.11977697762561262,0.035500998677268004,0.0077189659138842985,0.515625,0.06467661691542288
public_task_span,2,128,0.18822256592656106,0.03180468448611136,0.002791777988261331,0.5234375,0.19402985074626866
public_task_span,3,128,0.24702881847584152,0.033888384345905485,0.002168305210012177,0.5078125,0.24875621890547264
public_task_span,4,128,0.29579956856756673,0.03721115501087826,-0.0002715687275455041,0.4765625,0.5422885572139303
public_task_span,5,128,0.3667857271258137,0.03857633721025224,-0.0021561171125561384,0.4609375,0.681592039800995
