phase,auroc_mean,auroc_std,bal_acc_mean
final_prompt,0.7797755111882716,0.23540291773072197,0.7625578703703704
post_selector,0.8926800009645062,0.16753978408245482,0.8726851851851852
pre_selector,0.5,0.0,0.5
public_task_span,0.7945794753086419,0.2166096282362821,0.7396122685185186
response_first,0.7971601321373457,0.2224627701925989,0.7678240740740742
response_mean,0.7951256269290123,0.229328320341051,0.766087962962963
