query_phase,layer,head,mean_active_minus_inactive,cohens_d_vs_zero,abs_cohens_d,active_preference_rate,harmful_mean,benign_mean,n
post_selector,9,11,0.007590282457385864,2.4494535410714837,2.4494535410714837,1.0,0.007834315903892232,0.007346249010879498,64
post_selector,14,11,0.010827613492438055,1.9466553327624794,1.9466553327624794,0.984375,0.00966210856131506,0.011993118423561051,64
post_selector,18,13,-0.010633151730871718,-1.9161814656621543,1.9161814656621543,0.0,-0.009471720113651778,-0.011794583348091657,64
post_selector,19,30,-0.027207835308217868,-1.894394973442443,1.894394973442443,0.0,-0.03245635371422391,-0.02195931690221182,64
post_selector,18,12,-0.011010477974195913,-1.87624771415235,1.87624771415235,0.0,-0.012032465121592346,-0.009988490826799479,64
post_selector,13,14,0.01934164216800123,1.7270829558418874,1.7270829558418874,1.0,0.019372508977539796,0.019310775358462658,64
post_selector,24,21,0.0031068745156516836,1.6527976106433122,1.6527976106433122,0.96875,0.002703036640013992,0.003510712391289376,64
post_selector,21,31,0.010709931993915197,1.651330235277371,1.651330235277371,0.984375,0.009869135566987063,0.01155072842084333,64
post_selector,16,23,0.04654209477303081,1.5726639512915865,1.5726639512915865,0.921875,0.03820243349764493,0.054881756048416684,64
post_selector,20,9,0.0020487513629631913,1.5625927538835531,1.5625927538835531,0.90625,0.0018497634373488545,0.0022477392885775277,64
post_selector,20,15,0.03416132552956693,1.4980759427207824,1.4980759427207824,0.921875,0.0287423872214276,0.039580263837706256,64
post_selector,18,15,0.031060937420988873,1.4893374498886882,1.4893374498886882,1.0,0.023516316243330906,0.038605558598646846,64
post_selector,15,5,0.0038528304139617375,1.4588152777379195,1.4588152777379195,0.96875,0.003581962140742647,0.004123698687180828,64
post_selector,17,15,0.04321818512835302,1.4428313026072734,1.4428313026072734,1.0,0.03469102362578264,0.05174534663092341,64
post_selector,19,0,-0.009911782202834686,-1.4274873266436812,1.4274873266436812,0.03125,-0.010289955011103262,-0.009533609394566113,64
post_selector,21,18,0.011502538207423594,1.407455505018633,1.407455505018633,0.984375,0.013688742867088832,0.009316333547758356,64
post_selector,16,17,-0.02188758242118633,-1.3864273829901035,1.3864273829901035,0.0,-0.02394443954108278,-0.01983072530128989,64
post_selector,9,8,0.002062153985207208,1.3555133694759016,1.3555133694759016,0.9375,0.0021503950811165295,0.0019739128892978866,64
post_selector,17,4,0.022524104395415585,1.3481308582971305,1.3481308582971305,1.0,0.01495932682882989,0.030088881962001282,64
post_selector,20,12,-0.004770840238052139,-1.3422698005796485,1.3422698005796485,0.015625,-0.005365650547901125,-0.004176029928203153,64
post_selector,9,10,0.009975322911486678,1.3231531361466635,1.3231531361466635,1.0,0.011583360195800144,0.008367285627173211,64
post_selector,19,31,0.023735680944810114,1.3175026507062362,1.3175026507062362,1.0,0.020235367672285023,0.02723599421733521,64
post_selector,23,5,0.004499657909036579,1.286394474194086,1.286394474194086,0.890625,0.003529614132276009,0.00546970168579715,64
post_selector,18,11,-0.027592063517658923,-1.2849550600821118,1.2849550600821118,0.03125,-0.033482049402664374,-0.021702077632653475,64
post_selector,19,21,-0.0028112253930884967,-1.2474257269364935,1.2474257269364935,0.09375,-0.0027301675727357715,-0.002892283213441222,64
post_selector,20,23,0.008801181291346395,1.2386315525721507,1.2386315525721507,0.953125,0.008097289508441421,0.00950507307425137,64
post_selector,24,29,0.01244022699574994,1.2215868813427908,1.2215868813427908,0.953125,0.009889210097753644,0.014991243893746235,64
post_selector,21,11,0.01168980578222541,1.205279216913231,1.205279216913231,0.921875,0.009034437462105378,0.01434517410234544,64
post_selector,19,25,0.006245348395168511,1.2000764112819935,1.2000764112819935,0.90625,0.003208844645996547,0.009281852144340475,64
post_selector,12,28,-0.0021790779455841012,-1.1858758490602441,1.1858758490602441,0.09375,-0.0020636363424273085,-0.002294519548740894,64
post_selector,12,31,0.02336648681375659,1.156520011800766,1.156520011800766,0.96875,0.023664582753553938,0.02306839087395924,64
post_selector,17,12,0.0039641811581531865,1.138716343030056,1.138716343030056,0.90625,0.0034588547787279492,0.0044695075375784255,64
post_selector,27,16,0.0026164302034885345,1.1384537893039852,1.1384537893039852,0.84375,0.0024578153970651064,0.002775045009911962,64
post_selector,26,26,0.0052090068120377985,1.1231157237404503,1.1231157237404503,0.953125,0.0027089566046924656,0.0077090570193831314,64
post_selector,24,5,0.0028273024322515525,1.1226729500128678,1.1226729500128678,0.921875,0.0028549860844577332,0.0027996187800453714,64
post_selector,15,7,0.03952603857032952,1.1174144833092565,1.1174144833092565,0.875,0.027305951196467483,0.05174612594419155,64
post_selector,14,7,0.026776819246151672,1.1117494410803435,1.1117494410803435,0.984375,0.021487458507181097,0.03206617998512225,64
post_selector,26,24,0.00275582412450599,1.110695763480518,1.110695763480518,0.96875,0.0019632966304925096,0.003548351618519471,64
post_selector,23,10,0.026511108451813883,1.0944034491451564,1.0944034491451564,0.9375,0.02441188122611487,0.02861033567751289,64
post_selector,13,13,0.0038952196709942195,1.0935687128208558,1.0935687128208558,0.984375,0.005074598468127038,0.0027158408738614,64
post_selector,18,10,-0.008685580247401911,-1.0673938529589622,1.0673938529589622,0.078125,-0.008138643112033559,-0.009232517382770263,64
post_selector,29,7,0.007231746381876255,1.0642422195149508,1.0642422195149508,0.875,0.004726213672256539,0.009737279091495972,64
post_selector,28,23,0.0030278438025561237,1.0114025388345336,1.0114025388345336,0.90625,0.0015132283806451286,0.004542459224467119,64
post_selector,33,15,0.010161089892790144,1.0099312552752597,1.0099312552752597,0.90625,0.00919782626442607,0.011124353521154217,64
post_selector,23,4,0.004442449348061878,1.0015014035136205,1.0015014035136205,0.953125,0.0031521237178821562,0.0057327749782416,64
post_selector,29,2,0.002625529316901486,0.9852968228290648,0.9852968228290648,0.890625,0.002347029892916866,0.0029040287408861063,64
post_selector,34,3,0.003946515746065384,0.9822178317774054,0.9822178317774054,0.8125,0.0011910253087989843,0.006702006183331785,64
post_selector,33,18,0.0037645792526745606,0.9821538064046171,0.9821538064046171,0.890625,0.003228358396881922,0.0043008001084672,64
