phase,layer,auroc_mean,auroc_std,bal_acc_mean
final_prompt,20,1.0,0.0,0.9833333333333334
post_selector,29,1.0,0.0,0.9833333333333334
post_selector,30,1.0,0.0,0.9833333333333334
post_selector,31,1.0,0.0,0.9833333333333334
post_selector,16,1.0,0.0,1.0
post_selector,17,1.0,0.0,1.0
post_selector,18,1.0,0.0,1.0
post_selector,32,1.0,0.0,0.9833333333333334
post_selector,20,1.0,0.0,1.0
post_selector,21,1.0,0.0,1.0
post_selector,22,1.0,0.0,1.0
post_selector,23,1.0,0.0,1.0
post_selector,24,1.0,0.0,1.0
post_selector,25,1.0,0.0,1.0
post_selector,26,1.0,0.0,1.0
post_selector,27,1.0,0.0,1.0
post_selector,28,1.0,0.0,0.9833333333333334
post_selector,19,1.0,0.0,1.0
response_first,30,1.0,0.0,0.9333333333333333
response_mean,24,1.0,0.0,0.9333333333333333
response_mean,26,1.0,0.0,0.9333333333333333
response_mean,25,1.0,0.0,0.9333333333333333
response_mean,23,1.0,0.0,0.9666666666666668
public_task_span,22,1.0,0.0,0.925
response_mean,20,1.0,0.0,0.9666666666666668
response_mean,21,1.0,0.0,0.9833333333333334
response_first,29,1.0,0.0,0.9333333333333333
response_mean,19,1.0,0.0,0.9833333333333334
response_first,33,1.0,0.0,0.9541666666666668
final_prompt,19,0.996875,0.006987712429686838,0.9375
public_task_span,20,0.9944444444444445,0.01242259987499878,0.8333333333333334
response_first,20,0.9944444444444445,0.01242259987499878,0.925
response_first,25,0.9944444444444445,0.012422599874998786,0.95
response_first,32,0.9944444444444445,0.01242259987499878,0.9333333333333333
response_first,26,0.9944444444444445,0.012422599874998786,0.9
response_mean,27,0.9944444444444445,0.012422599874998786,0.9333333333333333
response_mean,22,0.9944444444444445,0.012422599874998788,0.95
response_first,35,0.9944444444444445,0.01242259987499878,0.9333333333333333
response_first,34,0.9944444444444445,0.01242259987499878,0.95
response_first,28,0.9944444444444445,0.012422599874998786,0.9333333333333333
final_prompt,23,0.9944444444444445,0.012422599874998786,0.9333333333333332
final_prompt,21,0.9944444444444445,0.01242259987499878,0.9833333333333334
post_selector,13,0.990625,0.02096313728906053,0.9291666666666668
post_selector,14,0.990625,0.02096313728906053,0.9375
final_prompt,24,0.9888888888888889,0.01521451548625456,0.9333333333333332
post_selector,35,0.9888888888888889,0.024845199749997687,0.9666666666666668
post_selector,33,0.9888888888888889,0.024845199749997687,0.9833333333333334
response_mean,31,0.9888888888888889,0.024845199749997684,0.9166666666666666
response_first,24,0.9888888888888889,0.01521451548625456,0.9333333333333333
public_task_span,21,0.9888888888888889,0.024845199749997632,0.8333333333333334
response_first,21,0.9888888888888889,0.01521451548625456,0.9333333333333333
response_mean,30,0.9888888888888889,0.024845199749997684,0.9166666666666666
response_mean,32,0.9888888888888889,0.024845199749997684,0.9166666666666666
response_mean,33,0.9888888888888889,0.024845199749997684,0.9166666666666666
response_mean,34,0.9888888888888889,0.024845199749997684,0.9166666666666666
response_first,31,0.9888888888888889,0.024845199749997656,0.9333333333333333
response_mean,28,0.9888888888888889,0.024845199749997684,0.9333333333333333
response_mean,29,0.9888888888888889,0.024845199749997684,0.9166666666666666
response_first,23,0.9888888888888889,0.01521451548625456,0.9333333333333333
final_prompt,22,0.9888888888888889,0.01521451548625456,0.95
response_mean,35,0.9888888888888889,0.024845199749997684,0.9333333333333333
public_task_span,19,0.9857638888888889,0.024068787257810198,0.8833333333333334
post_selector,15,0.9857638888888889,0.024068787257810226,0.9375
post_selector,34,0.9833333333333334,0.037267799624996475,0.9833333333333334
response_first,27,0.9833333333333334,0.024845199749997653,0.9333333333333333
response_first,22,0.9833333333333334,0.024845199749997653,0.9333333333333333
response_mean,18,0.9802083333333333,0.03615948949522867,0.8916666666666666
post_selector,12,0.978125,0.048913987007807885,0.9291666666666668
final_prompt,32,0.9777777777777779,0.030429030972509246,0.9
final_prompt,29,0.9777777777777779,0.030429030972509246,0.8833333333333334
final_prompt,26,0.9777777777777779,0.030429030972509246,0.9333333333333332
final_prompt,25,0.9777777777777779,0.030429030972509246,0.9333333333333332
final_prompt,28,0.9777777777777779,0.030429030972509246,0.9333333333333332
final_prompt,31,0.9777777777777779,0.030429030972509246,0.8833333333333334
final_prompt,30,0.9777777777777779,0.030429030972509246,0.8833333333333334
final_prompt,27,0.9777777777777779,0.030429030972509246,0.9333333333333332
final_prompt,33,0.9722222222222221,0.03928371006591929,0.8708333333333333
public_task_span,23,0.9715277777777779,0.048137574515620445,0.9083333333333334
response_first,19,0.9708333333333334,0.040611643103370634,0.8958333333333334
final_prompt,34,0.9666666666666666,0.04969039949999531,0.9166666666666666
final_prompt,35,0.9666666666666666,0.04969039949999531,0.9041666666666666
final_prompt,18,0.9604166666666668,0.024503164950524077,0.8125
public_task_span,18,0.9423611111111111,0.05354432368389229,0.7791666666666667
public_task_span,28,0.9381944444444444,0.08159352828518138,0.7875
public_task_span,27,0.9381944444444444,0.08159352828518138,0.8208333333333334
public_task_span,26,0.9350694444444445,0.0728711829040774,0.8083333333333333
public_task_span,24,0.93125,0.06479207603776829,0.8
public_task_span,17,0.93125,0.06479207603776833,0.7666666666666666
public_task_span,25,0.9288194444444444,0.07227311908506473,0.7958333333333333
