phase,layer,auroc_mean,auroc_std,bal_acc_mean
final_prompt,23,1.0,0.0,0.9916666666666666
final_prompt,22,1.0,0.0,0.9958333333333333
final_prompt,21,1.0,0.0,1.0
final_prompt,20,1.0,0.0,0.9958333333333333
post_selector,32,1.0,0.0,0.9916666666666666
post_selector,33,1.0,0.0,0.9916666666666666
post_selector,34,1.0,0.0,0.9916666666666666
post_selector,27,1.0,0.0,1.0
post_selector,20,1.0,0.0,1.0
post_selector,21,1.0,0.0,1.0
post_selector,22,1.0,0.0,1.0
post_selector,23,1.0,0.0,1.0
post_selector,24,1.0,0.0,1.0
post_selector,25,1.0,0.0,1.0
post_selector,18,1.0,0.0,1.0
post_selector,19,1.0,0.0,1.0
post_selector,16,1.0,0.0,1.0
post_selector,17,1.0,0.0,1.0
final_prompt,29,1.0,0.0,0.9791666666666667
final_prompt,28,1.0,0.0,0.9916666666666668
final_prompt,27,1.0,0.0,0.9875
final_prompt,26,1.0,0.0,0.9958333333333333
final_prompt,25,1.0,0.0,0.9875
final_prompt,24,1.0,0.0,0.9916666666666668
post_selector,26,1.0,0.0,1.0
post_selector,30,1.0,0.0,0.9958333333333333
post_selector,29,1.0,0.0,0.9958333333333333
post_selector,28,1.0,0.0,0.9958333333333333
post_selector,31,1.0,0.0,0.9958333333333333
response_first,29,1.0,0.0,0.9958333333333333
response_first,31,1.0,0.0,1.0
response_first,30,1.0,0.0,1.0
response_first,32,1.0,0.0,0.9958333333333333
response_mean,23,1.0,0.0,0.9958333333333333
response_mean,25,1.0,0.0,1.0
response_mean,24,1.0,0.0,1.0
response_mean,21,1.0,0.0,1.0
response_mean,19,1.0,0.0,0.9958333333333333
response_first,27,1.0,0.0,0.9916666666666668
response_first,25,1.0,0.0,0.984375
response_first,28,1.0,0.0,0.9916666666666668
response_first,33,1.0,0.0,0.9958333333333333
response_first,23,1.0,0.0,0.984375
public_task_span,22,0.9996527777777778,0.0007764124921873978,0.9833333333333334
response_first,26,0.9996527777777778,0.0007764124921874118,0.9927083333333334
post_selector,35,0.9996527777777778,0.0007764124921874118,0.9916666666666666
final_prompt,30,0.9996527777777778,0.0007764124921873978,0.9791666666666666
post_selector,14,0.9996527777777778,0.0007764124921874004,0.9916666666666668
final_prompt,32,0.9996527777777778,0.0007764124921874118,0.9708333333333334
final_prompt,35,0.9996527777777778,0.0007764124921873978,0.9708333333333334
final_prompt,31,0.9996527777777778,0.0007764124921873978,0.9708333333333334
response_first,24,0.9996527777777778,0.0007764124921874118,0.9927083333333334
response_mean,26,0.9996527777777778,0.0007764124921873978,0.9958333333333333
response_mean,22,0.9996527777777778,0.0007764124921873978,0.9916666666666666
response_mean,28,0.9996527777777778,0.0007764124921873978,0.9875
response_first,22,0.9996527777777778,0.0007764124921874056,0.9875
response_mean,27,0.9993055555555556,0.0015528249843748967,0.9916666666666666
public_task_span,23,0.9993055555555556,0.0015528249843748422,0.946875
public_task_span,21,0.9993055555555556,0.0015528249843748964,0.9875
response_first,34,0.9993055555555556,0.0015528249843748967,0.9916666666666666
response_first,35,0.9993055555555556,0.0015528249843748967,0.9916666666666666
response_mean,31,0.9993055555555556,0.0015528249843748967,0.9802083333333333
response_mean,32,0.9993055555555556,0.0015528249843748967,0.9760416666666668
response_mean,20,0.9993055555555556,0.0015528249843748967,0.9916666666666666
final_prompt,33,0.9993055555555556,0.0009509072178908657,0.9666666666666668
final_prompt,19,0.9993055555555556,0.0015528249843748422,0.9916666666666668
response_mean,30,0.9989583333333332,0.0023292374765622945,0.9802083333333333
final_prompt,34,0.9989583333333332,0.0023292374765622945,0.9708333333333334
response_mean,34,0.9986111111111111,0.003105649968749739,0.984375
response_mean,29,0.9986111111111111,0.0031056499687496845,0.9833333333333334
response_mean,33,0.998263888888889,0.003007032652029323,0.971875
post_selector,15,0.9979166666666666,0.004658474953124589,0.9791666666666667
public_task_span,20,0.9975694444444445,0.003803628871563652,0.9458333333333334
post_selector,13,0.9972222222222221,0.006211299937499385,0.9708333333333334
response_first,21,0.996875,0.004322881804857205,0.9635416666666667
response_mean,35,0.9965277777777779,0.00776412492187429,0.9677083333333334
response_mean,18,0.9961805555555555,0.007607257743127335,0.9635416666666666
final_prompt,18,0.9954861111111111,0.010093362398436584,0.95625
response_first,20,0.9954861111111111,0.006449366535071813,0.9760416666666666
public_task_span,19,0.9951388888888889,0.009054447785003653,0.9458333333333334
response_first,19,0.9934027777777779,0.013801810357188738,0.9645833333333332
public_task_span,25,0.9930555555555556,0.012816686684230399,0.909375
public_task_span,24,0.9927083333333332,0.014442107182698206,0.934375
public_task_span,26,0.9857638888888889,0.021383082274586355,0.9010416666666667
post_selector,12,0.9822916666666668,0.025527328160712185,0.9541666666666668
public_task_span,27,0.9798611111111111,0.028910290216482337,0.9083333333333334
public_task_span,28,0.975,0.03021032879743914,0.9125
response_first,18,0.9736111111111111,0.05420171141978203,0.903125
public_task_span,18,0.9731770833333334,0.030177261917931294,0.9
public_task_span,29,0.9652777777777777,0.03753775748340219,0.8958333333333334
public_task_span,30,0.9559027777777779,0.040929532845496976,0.884375
public_task_span,32,0.9541666666666666,0.03855964920830975,0.871875
public_task_span,31,0.9517361111111111,0.039692071647843344,0.8927083333333334
public_task_span,33,0.94375,0.04639998515824318,0.8666666666666666
public_task_span,17,0.9430989583333333,0.053456031803291525,0.815625
public_task_span,16,0.938259548611111,0.06068526737174495,0.7989583333333333
public_task_span,15,0.9358506944444445,0.056021873763632955,0.765625
response_first,17,0.9344618055555556,0.09797786546680497,0.7979166666666667
public_task_span,34,0.9284722222222221,0.06934019953537009,0.8583333333333334
post_selector,11,0.9223307291666666,0.06357064342064948,0.8447916666666666
final_prompt,17,0.9205512152777778,0.033822190706091056,0.7583333333333333
public_task_span,35,0.9170138888888889,0.08557636662924503,0.8322916666666667
public_task_span,14,0.9077473958333334,0.09445815890598558,0.70625
response_mean,17,0.8949001736111111,0.07880994652701949,0.7520833333333333
response_mean,16,0.892361111111111,0.073328861395635,0.7697916666666667
response_first,16,0.8889105902777779,0.0982725657064611,0.8
response_mean,15,0.8589192708333334,0.037501387707814436,0.728125
final_prompt,16,0.8395182291666666,0.07182577826065706,0.746875
response_first,15,0.8256727430555555,0.07476008782907426,0.6864583333333334
post_selector,10,0.7794921875,0.11095503335365478,0.6833333333333333
response_mean,14,0.719552951388889,0.07728572695060715,0.5885416666666666
post_selector,8,0.7159288194444444,0.060990169570710975,0.6104166666666667
post_selector,9,0.7008246527777777,0.07908535177685187,0.634375
response_first,14,0.6825737847222222,0.051910089656644995,0.6041666666666667
post_selector,7,0.6697699652777778,0.1136358266661488,0.603125
post_selector,6,0.6563151041666667,0.1085000974402202,0.61875
post_selector,3,0.6475260416666667,0.07456446902588441,0.6270833333333334
post_selector,5,0.6473090277777778,0.08257006317810889,0.6229166666666666
final_prompt,15,0.6457465277777777,0.046199397654661606,0.5875
post_selector,4,0.6295138888888889,0.061068186471515164,0.6052083333333333
response_mean,13,0.6258246527777779,0.03981492258561669,0.5645833333333333
response_first,12,0.6240234375,0.018272066851922814,0.56875
response_first,13,0.6231987847222222,0.03760948368209753,0.575
public_task_span,13,0.5862196180555556,0.01211483800631368,0.5489583333333333
post_selector,2,0.5855034722222222,0.05780396218654676,0.546875
response_mean,12,0.572092013888889,0.012512125797806375,0.528125
post_selector,1,0.5692925347222222,0.10385842387168681,0.5364583333333334
response_first,8,0.5682942708333334,0.018981521454780187,0.5447916666666666
final_prompt,14,0.5627821180555556,0.04600819839911935,0.5208333333333333
response_first,5,0.562326388888889,0.04517393137643752,0.5354166666666667
response_first,7,0.5591362847222222,0.03676784670952777,0.5135416666666666
response_mean,6,0.55703125,0.04771108462368426,0.51875
response_first,4,0.5535590277777778,0.01885299963136656,0.5052083333333333
response_first,9,0.5467664930555556,0.02600660436204453,0.5166666666666667
public_task_span,12,0.5465711805555555,0.020220524568760376,0.534375
response_mean,11,0.544118923611111,0.014680873296790391,0.5302083333333334
response_mean,8,0.5423394097222223,0.022991236345492612,0.509375
response_first,11,0.5421223958333334,0.014969318549482788,0.5114583333333333
post_selector,0,0.5404079861111111,0.07316046430914178,0.5041666666666667
response_first,6,0.5396484375,0.027646453691183116,0.5520833333333334
response_first,10,0.5395399305555555,0.020583398422753755,0.5010416666666666
response_first,3,0.5388020833333333,0.015886839644827556,0.5375
response_mean,9,0.5374565972222223,0.01741230516243147,0.5083333333333333
response_mean,7,0.5356336805555555,0.01847067409774732,0.5260416666666666
response_mean,10,0.5297092013888889,0.013929604085924195,0.5166666666666667
response_mean,5,0.5293836805555555,0.03194588920532686,0.5177083333333334
final_prompt,13,0.5290581597222223,0.057397630102751444,0.534375
response_first,1,0.5268012152777778,0.010941998668363078,0.5135416666666666
response_first,2,0.5263454861111111,0.033587272604426385,0.5052083333333333
final_prompt,11,0.5243055555555556,0.05293003895634076,0.5052083333333334
public_task_span,6,0.523611111111111,0.02344071480009743,0.5125
final_prompt,5,0.522265625,0.027527251607137083,0.4958333333333333
final_prompt,8,0.5199652777777778,0.023162611222441534,0.5260416666666667
public_task_span,11,0.5182074652777777,0.023539805731025192,0.525
final_prompt,10,0.5180772569444445,0.04032165359166669,0.4979166666666667
final_prompt,7,0.5176215277777778,0.035206582625496266,0.4791666666666667
final_prompt,12,0.5172960069444444,0.06151509319026222,0.5135416666666667
final_prompt,9,0.5141710069444445,0.03181637509152105,0.4958333333333333
public_task_span,5,0.5139322916666667,0.02076563254767675,0.5114583333333333
response_mean,4,0.5127604166666667,0.030744978864931626,0.4927083333333333
public_task_span,2,0.5127170138888889,0.03148556684859268,0.4958333333333333
final_prompt,3,0.512478298611111,0.035404038515353224,0.49375
public_task_span,7,0.5123263888888889,0.03563471142269868,0.5083333333333333
final_prompt,0,0.5114800347222223,0.02800744794926934,0.5145833333333333
final_prompt,6,0.5111762152777778,0.021032721447439475,0.4979166666666666
public_task_span,1,0.5102864583333333,0.03703747501820749,0.5
public_task_span,3,0.5060112847222222,0.0433465619015026,0.5072916666666667
response_mean,0,0.50234375,0.027600208267897674,0.4989583333333333
response_mean,3,0.5023220486111111,0.01849901797386932,0.5083333333333333
response_mean,2,0.500217013888889,0.02499054152913008,0.4895833333333333
pre_selector,0,0.5,0.0,0.5
pre_selector,2,0.5,0.0,0.5
pre_selector,1,0.5,0.0,0.5
pre_selector,14,0.5,0.0,0.5
pre_selector,13,0.5,0.0,0.5
pre_selector,12,0.5,0.0,0.5
pre_selector,7,0.5,0.0,0.5
pre_selector,6,0.5,0.0,0.5
pre_selector,5,0.5,0.0,0.5
pre_selector,4,0.5,0.0,0.5
pre_selector,3,0.5,0.0,0.5
pre_selector,10,0.5,0.0,0.5
pre_selector,9,0.5,0.0,0.5
pre_selector,8,0.5,0.0,0.5
pre_selector,34,0.5,0.0,0.5
pre_selector,23,0.5,0.0,0.5
pre_selector,18,0.5,0.0,0.5
pre_selector,15,0.5,0.0,0.5
pre_selector,11,0.5,0.0,0.5
pre_selector,33,0.5,0.0,0.5
pre_selector,31,0.5,0.0,0.5
pre_selector,30,0.5,0.0,0.5
pre_selector,24,0.5,0.0,0.5
pre_selector,17,0.5,0.0,0.5
pre_selector,35,0.5,0.0,0.5
pre_selector,19,0.5,0.0,0.5
pre_selector,20,0.5,0.0,0.5
pre_selector,21,0.5,0.0,0.5
pre_selector,29,0.5,0.0,0.5
pre_selector,16,0.5,0.0,0.5
pre_selector,25,0.5,0.0,0.5
pre_selector,26,0.5,0.0,0.5
pre_selector,22,0.5,0.0,0.5
pre_selector,28,0.5,0.0,0.5
pre_selector,27,0.5,0.0,0.5
pre_selector,32,0.5,0.0,0.5
public_task_span,4,0.4980685763888889,0.032700796012538225,0.5041666666666667
response_first,0,0.4980251736111111,0.018421974006824327,0.503125
public_task_span,9,0.4938151041666667,0.022560313407311558,0.4854166666666666
final_prompt,4,0.49320746527777776,0.019543844800979992,0.4760416666666667
public_task_span,8,0.49259982638888894,0.04299288327787064,0.4697916666666667
