phase,layer,n_pairs,n_scenarios,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p,null_unit,null_draws
post_selector,21,128,16,74.89712877847226,0.4425087237098038,0.4307663675711456,1.0,1.52587890625e-05,scenario_id,65536
post_selector,22,128,16,86.84555746334186,0.3884774062872271,0.37794145836660165,1.0,1.52587890625e-05,scenario_id,65536
post_selector,23,128,16,96.65858835396817,0.38007245331407474,0.36944455374370444,1.0,1.52587890625e-05,scenario_id,65536
post_selector,24,128,16,108.86937541537061,0.3582142977116805,0.34718849317689027,1.0,1.52587890625e-05,scenario_id,65536
post_selector,25,128,16,119.9700057758987,0.3337267496538205,0.32296839018051465,1.0,1.52587890625e-05,scenario_id,65536
post_selector,26,128,16,133.79080756036504,0.3140451334831152,0.3032217572969755,1.0,1.52587890625e-05,scenario_id,65536
post_selector,27,128,16,152.85505107413286,0.28861758186131725,0.2780457885091897,1.0,1.52587890625e-05,scenario_id,65536
post_selector,28,128,16,173.89643539925336,0.26969180052964953,0.2589657191997078,0.9921875,1.52587890625e-05,scenario_id,65536
post_selector,29,128,16,195.73134327079276,0.2568785672398285,0.24573228226259297,0.984375,1.52587890625e-05,scenario_id,65536
post_selector,30,128,16,229.26142989264312,0.24002146157624518,0.22886983938832262,0.984375,1.52587890625e-05,scenario_id,65536
post_selector,31,128,16,263.8185682605056,0.22622199974238397,0.215181756325174,0.984375,1.52587890625e-05,scenario_id,65536
post_selector,32,128,16,293.4334414093798,0.22073822652077635,0.2092624659788898,0.984375,1.52587890625e-05,scenario_id,65536
post_selector,33,128,16,357.077340442827,0.1990168319630064,0.18751036031685747,0.984375,1.52587890625e-05,scenario_id,65536
post_selector,34,128,16,427.8387740502029,0.2008671763037378,0.18933188042738192,0.984375,1.52587890625e-05,scenario_id,65536
post_selector,35,128,16,82.08141441372146,0.18218494934483542,0.17123212349054767,0.9375,1.52587890625e-05,scenario_id,65536
public_task_span,0,128,16,0.080800766340263,0.022397187957165145,-0.0027028091222648107,0.484375,0.784149169921875,scenario_id,65536
public_task_span,1,128,16,0.11978084982381754,0.035014867719505294,0.006796889462002711,0.5234375,0.0547943115234375,scenario_id,65536
public_task_span,2,128,16,0.18823292437880013,0.03183372553360918,0.002538840617570394,0.5,0.0860595703125,scenario_id,65536
public_task_span,3,128,16,0.24678350522154324,0.03348936894675377,0.0016456134518481286,0.53125,0.21124267578125,scenario_id,65536
public_task_span,4,128,16,0.29573455559012823,0.038946286855574705,0.0036581224383005063,0.5234375,0.2108154296875,scenario_id,65536
public_task_span,5,128,16,0.36685632979623184,0.04091017440496063,0.0032243848491417797,0.5234375,0.26470947265625,scenario_id,65536
public_task_span,6,128,16,0.44070620970236,0.04592536886354634,0.006730313313469849,0.4609375,0.10589599609375,scenario_id,65536
public_task_span,7,128,16,0.5460541530247429,0.04606984095183549,-0.0006951542821732558,0.4375,0.55316162109375,scenario_id,65536
public_task_span,8,128,16,0.6472956514647734,0.047428521139145315,-0.004535003054277651,0.453125,0.7800750732421875,scenario_id,65536
public_task_span,9,128,16,0.6882119312065595,0.048790312111525305,-0.0024330232664601867,0.46875,0.667510986328125,scenario_id,65536
public_task_span,10,128,16,0.8117930670925284,0.04511231036210167,-0.0015351634278831716,0.4765625,0.6290130615234375,scenario_id,65536
public_task_span,11,128,16,0.9372889359586163,0.04330858800148596,-0.0014193970396815928,0.4375,0.6229400634765625,scenario_id,65536
public_task_span,12,128,16,0.9922402562224679,0.04675935355413603,0.0036247883250444123,0.484375,0.2401123046875,scenario_id,65536
public_task_span,13,128,16,0.9936266487642733,0.056808337022467924,0.014260866643046457,0.515625,0.0128326416015625,scenario_id,65536
public_task_span,14,128,16,1.1375158607429308,0.1538422137624281,0.13480190965261302,0.9453125,1.52587890625e-05,scenario_id,65536
public_task_span,15,128,16,1.2206032192894074,0.2105941103804658,0.19448854455524464,0.9609375,1.52587890625e-05,scenario_id,65536
public_task_span,16,128,16,1.3894695201851928,0.28757662781584953,0.27540644391591995,0.984375,1.52587890625e-05,scenario_id,65536
public_task_span,17,128,16,1.5578589455883636,0.33621928753340175,0.32499497774731784,0.984375,1.52587890625e-05,scenario_id,65536
public_task_span,18,128,16,1.7698747036777287,0.358355647562787,0.3470803447584899,1.0,1.52587890625e-05,scenario_id,65536
public_task_span,19,128,16,2.417142553607381,0.41746981182737625,0.4075706182776048,1.0,1.52587890625e-05,scenario_id,65536
public_task_span,20,128,16,2.639073799108656,0.42366897953610666,0.4129819070737161,1.0,1.52587890625e-05,scenario_id,65536
public_task_span,21,128,16,2.9437596738632594,0.4387285464930046,0.4273623947890004,1.0,1.52587890625e-05,scenario_id,65536
public_task_span,22,128,16,3.652102478296386,0.47057906389012905,0.45950519180114613,1.0,1.52587890625e-05,scenario_id,65536
public_task_span,23,128,16,4.357979002582272,0.49082687353218146,0.48014869056996845,1.0,1.52587890625e-05,scenario_id,65536
public_task_span,24,128,16,5.011219004482701,0.5003078957383791,0.4899678942918548,0.9609375,1.52587890625e-05,scenario_id,65536
public_task_span,25,128,16,5.762098641601108,0.5054585386499322,0.49554300021328496,0.953125,1.52587890625e-05,scenario_id,65536
public_task_span,26,128,16,6.4426047580476915,0.5151561720537081,0.5056847481938552,0.953125,1.52587890625e-05,scenario_id,65536
public_task_span,27,128,16,7.356422680729132,0.5099392854844008,0.5004426111196292,0.921875,1.52587890625e-05,scenario_id,65536
public_task_span,28,128,16,8.582720458824031,0.50977023042676,0.5002593517440863,0.9296875,1.52587890625e-05,scenario_id,65536
public_task_span,29,128,16,9.526711146241997,0.508048747119963,0.4985965317462709,0.9296875,1.52587890625e-05,scenario_id,65536
public_task_span,30,128,16,11.48232407139996,0.5188183635059883,0.5097999023428995,0.921875,1.52587890625e-05,scenario_id,65536
public_task_span,31,128,16,12.610046093839049,0.5211627408654504,0.5120747303498472,0.921875,1.52587890625e-05,scenario_id,65536
public_task_span,32,128,16,14.008684199762774,0.5240611612783792,0.5149064806816595,0.921875,1.52587890625e-05,scenario_id,65536
public_task_span,33,128,16,15.088347878678743,0.522874878771058,0.5134299284305317,0.9296875,1.52587890625e-05,scenario_id,65536
public_task_span,34,128,16,19.151103093881535,0.5368719293547123,0.5283441381135244,0.9140625,1.52587890625e-05,scenario_id,65536
public_task_span,35,128,16,3.3088781803466674,0.532851147531553,0.524974177513716,0.890625,1.52587890625e-05,scenario_id,65536
final_prompt,0,128,16,0.0500703227229598,0.06178830434720436,0.023399924897977598,0.6015625,0.0229949951171875,scenario_id,65536
final_prompt,1,128,16,0.10467126651820087,0.06408020212078655,-8.25528011867329e-05,0.53125,0.5039215087890625,scenario_id,65536
final_prompt,2,128,16,0.14326421637210657,0.06497266602554408,-0.00517704048423679,0.5,0.785430908203125,scenario_id,65536
final_prompt,3,128,16,0.18949725257151867,0.07775954123438115,0.012205356947230704,0.53125,0.122161865234375,scenario_id,65536
final_prompt,4,128,16,0.2572168892412433,0.07275854456043171,-0.0021176404323754987,0.5625,0.5952911376953125,scenario_id,65536
final_prompt,5,128,16,0.33613241195681376,0.071332312490547,-0.006675281832692343,0.4921875,0.86187744140625,scenario_id,65536
