phase,layer,auroc_mean,auroc_std,bal_acc_mean
final_prompt,23,1.0,0.0,0.9864583333333334
final_prompt,22,1.0,0.0,0.9895833333333334
final_prompt,21,1.0,0.0,0.9916666666666668
final_prompt,19,1.0,0.0,0.9958333333333333
final_prompt,20,1.0,0.0,0.9916666666666668
post_selector,33,1.0,0.0,1.0
post_selector,34,1.0,0.0,1.0
post_selector,35,1.0,0.0,1.0
post_selector,20,1.0,0.0,1.0
post_selector,21,1.0,0.0,1.0
post_selector,22,1.0,0.0,1.0
post_selector,23,1.0,0.0,1.0
post_selector,24,1.0,0.0,1.0
post_selector,25,1.0,0.0,1.0
post_selector,26,1.0,0.0,1.0
post_selector,27,1.0,0.0,1.0
post_selector,28,1.0,0.0,1.0
post_selector,29,1.0,0.0,1.0
post_selector,18,1.0,0.0,1.0
post_selector,19,1.0,0.0,1.0
post_selector,16,1.0,0.0,1.0
post_selector,17,1.0,0.0,1.0
final_prompt,34,1.0,0.0,0.98125
final_prompt,27,1.0,0.0,0.9854166666666668
post_selector,31,1.0,0.0,1.0
post_selector,30,1.0,0.0,1.0
post_selector,32,1.0,0.0,1.0
response_first,28,1.0,0.0,0.984375
response_first,27,1.0,0.0,0.984375
response_first,26,1.0,0.0,0.984375
response_first,33,1.0,0.0,0.9885416666666668
response_first,32,1.0,0.0,0.9916666666666668
response_first,31,1.0,0.0,0.9958333333333333
response_first,30,1.0,0.0,0.9927083333333334
response_first,25,1.0,0.0,0.9729166666666668
response_first,24,1.0,0.0,0.9885416666666668
response_first,23,1.0,0.0,0.9854166666666668
response_first,22,1.0,0.0,0.9854166666666668
response_mean,23,1.0,0.0,0.9895833333333334
response_mean,19,1.0,0.0,0.9802083333333333
response_mean,21,1.0,0.0,0.9927083333333334
response_mean,24,1.0,0.0,0.9885416666666668
response_first,29,1.0,0.0,0.9927083333333334
public_task_span,21,1.0,0.0,0.9802083333333333
response_mean,25,1.0,0.0,0.9854166666666668
response_mean,22,1.0,0.0,0.9927083333333334
public_task_span,22,1.0,0.0,0.9770833333333332
final_prompt,32,0.9998046875,0.00043673202685543856,0.9822916666666668
final_prompt,31,0.9998046875,0.00043673202685543856,0.9822916666666668
public_task_span,23,0.9998046875,0.00043673202685543856,0.9770833333333334
response_mean,20,0.9998046875,0.00043673202685543856,0.9927083333333334
final_prompt,28,0.999609375,0.000873464053710846,0.9854166666666668
final_prompt,26,0.999609375,0.000873464053710846,0.9822916666666668
final_prompt,24,0.999609375,0.000873464053710846,0.9864583333333334
final_prompt,33,0.9994574652777779,0.0007899424793056199,0.984375
response_first,35,0.9994574652777779,0.0007899424793056199,0.9885416666666668
