phase,layer,n_pairs,n_scenarios,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p,null_unit,null_draws
pre_selector,0,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,1,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,2,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,3,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,4,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,5,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,6,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,7,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,8,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,9,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,10,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,11,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,12,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,13,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,14,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,15,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,16,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,17,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,18,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,19,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,20,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,21,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,22,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,23,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,24,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,25,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,26,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,27,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,28,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,29,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,30,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,31,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,32,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,33,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,34,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,35,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
post_selector,0,128,16,5.093582138582716,0.011601309359954995,0.005395061984054392,0.5859375,0.0440521240234375,scenario_id,65536
post_selector,1,128,16,6.8141369929303615,0.010098933015748062,0.003362355649937275,0.59375,0.077728271484375,scenario_id,65536
post_selector,2,128,16,8.083186553264685,0.009343809445869307,0.002825114900515078,0.5703125,0.04925537109375,scenario_id,65536
post_selector,3,128,16,10.158004210347187,0.010561730900984617,0.0007797836648392221,0.5078125,0.3574066162109375,scenario_id,65536
post_selector,4,128,16,13.66255997941148,0.01078035011513521,0.0012220595230312704,0.5234375,0.3032073974609375,scenario_id,65536
post_selector,5,128,16,17.31612792381991,0.010785343593424018,0.0006494567549953964,0.5,0.3997039794921875,scenario_id,65536
post_selector,6,128,16,20.131699939912746,0.011237754526746888,0.0014129886641318229,0.453125,0.274078369140625,scenario_id,65536
post_selector,7,128,16,21.6120150416637,0.012192191666767303,0.0017910463980381367,0.4609375,0.2328948974609375,scenario_id,65536
post_selector,8,128,16,23.294008896827414,0.015019697501514748,0.0030778068740495833,0.546875,0.1372833251953125,scenario_id,65536
post_selector,9,128,16,28.181875879833704,0.015456217048402632,0.0013986087618298776,0.4609375,0.299957275390625,scenario_id,65536
post_selector,10,128,16,27.817232937911193,0.019200840649201315,0.00453999942826221,0.5390625,0.0407867431640625,scenario_id,65536
post_selector,11,128,16,30.86888704015912,0.0379842249200187,0.027273467897389173,0.6796875,1.52587890625e-05,scenario_id,65536
post_selector,12,128,16,32.170340759134355,0.20806889635731465,0.2010445385223144,0.9765625,1.52587890625e-05,scenario_id,65536
post_selector,13,128,16,36.856008283381314,0.2270216712547203,0.21894848527907265,0.96875,1.52587890625e-05,scenario_id,65536
post_selector,14,128,16,34.58293876209582,0.221916229083437,0.21305732505677225,0.984375,1.52587890625e-05,scenario_id,65536
post_selector,15,128,16,36.88645219055,0.22204106558677078,0.2116090422362394,0.984375,1.52587890625e-05,scenario_id,65536
post_selector,16,128,16,40.80853087471189,0.3472200737412851,0.337597954535643,1.0,1.52587890625e-05,scenario_id,65536
post_selector,17,128,16,43.956645573085794,0.36616942588124896,0.35450116632241,1.0,1.52587890625e-05,scenario_id,65536
post_selector,18,128,16,49.871407979286886,0.4062265693933627,0.39358769178378894,1.0,1.52587890625e-05,scenario_id,65536
post_selector,19,128,16,59.57599930908634,0.46725671115544337,0.45453771541213395,1.0,1.52587890625e-05,scenario_id,65536
post_selector,20,128,16,65.18632943567059,0.44650017261142316,0.43365149829291194,1.0,1.52587890625e-05,scenario_id,65536
post_selector,21,128,16,74.69318885619802,0.4376920584088464,0.42536016333888566,1.0,1.52587890625e-05,scenario_id,65536
post_selector,22,128,16,86.62222639720943,0.3843587285324286,0.37311024703859563,1.0,1.52587890625e-05,scenario_id,65536
post_selector,23,128,16,96.46858936477709,0.3755319186533066,0.3638916586089477,1.0,1.52587890625e-05,scenario_id,65536
post_selector,24,128,16,108.72122870387415,0.35312436447529927,0.3407512101067305,1.0,1.52587890625e-05,scenario_id,65536
post_selector,25,128,16,119.72337594681763,0.3290974877986239,0.31677420156169245,1.0,1.52587890625e-05,scenario_id,65536
