phase,layer,n_pairs,n_scenarios,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p,null_unit,null_draws
pre_selector,0,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,1,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,2,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,3,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,4,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,5,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,6,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,7,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,8,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,9,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,10,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,11,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,12,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,13,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,14,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,15,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,16,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,17,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,18,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,19,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,20,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,21,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,22,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,23,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,24,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,25,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,26,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,27,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,28,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,29,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,30,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,31,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,32,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,33,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,34,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,35,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
post_selector,0,128,16,5.093439793960547,0.011918406854820107,0.006073993180623254,0.59375,0.023956298828125,scenario_id,65536
post_selector,1,128,16,6.8165341846778995,0.010537025063402525,0.004349015047905977,0.578125,0.022979736328125,scenario_id,65536
post_selector,2,128,16,8.085497591457749,0.00962530783802425,0.003582010819803358,0.6171875,0.016632080078125,scenario_id,65536
post_selector,3,128,16,10.160036262706106,0.01045456001567343,0.0002682286908363622,0.5,0.42413330078125,scenario_id,65536
post_selector,4,128,16,13.667596574315699,0.010183034629298256,-0.0008009919450185842,0.4921875,0.7352447509765625,scenario_id,65536
post_selector,5,128,16,17.319570444656566,0.009243391669120853,-0.003912508016545058,0.484375,0.9878387451171875,scenario_id,65536
post_selector,6,128,16,20.134573011746674,0.009372591176603409,-0.003474601573558801,0.453125,0.97607421875,scenario_id,65536
post_selector,7,128,16,21.610386701983224,0.010382215425352793,-0.0031349785238257433,0.46875,0.9481048583984375,scenario_id,65536
post_selector,8,128,16,23.290795660399407,0.012566654177840416,-0.0033300602305775745,0.453125,0.91864013671875,scenario_id,65536
post_selector,9,128,16,28.18349530914967,0.01389673575401999,-0.004060117552317304,0.4765625,0.9592132568359375,scenario_id,65536
post_selector,10,128,16,27.82143498282359,0.018229897785332575,0.0006636129848413867,0.5078125,0.3888702392578125,scenario_id,65536
post_selector,11,128,16,30.87792164324064,0.03840300918492738,0.026478790713611148,0.6953125,4.57763671875e-05,scenario_id,65536
post_selector,12,128,16,32.15348247069569,0.2085417234960387,0.20135999761072987,0.96875,1.52587890625e-05,scenario_id,65536
post_selector,13,128,16,36.82934352405877,0.227256885108131,0.21911450463096202,0.96875,1.52587890625e-05,scenario_id,65536
post_selector,14,128,16,34.57528921883084,0.22147864776950088,0.21252489006840353,0.984375,1.52587890625e-05,scenario_id,65536
post_selector,15,128,16,36.88333587183792,0.22051406611594546,0.2099871469731531,0.9765625,1.52587890625e-05,scenario_id,65536
post_selector,16,128,16,40.80561911853722,0.34599888883024005,0.33645275266118274,1.0,1.52587890625e-05,scenario_id,65536
post_selector,17,128,16,43.95111640896087,0.3649413202735117,0.3533403876985044,1.0,1.52587890625e-05,scenario_id,65536
post_selector,18,128,16,49.85539613731543,0.40526365078767373,0.3924631012277241,1.0,1.52587890625e-05,scenario_id,65536
post_selector,19,128,16,59.524238884123996,0.4659158426450907,0.45309709569993784,1.0,1.52587890625e-05,scenario_id,65536
post_selector,20,128,16,65.15363933822357,0.446125717576397,0.43319220789160295,1.0,1.52587890625e-05,scenario_id,65536
post_selector,21,128,16,74.68039529585877,0.43840458755549144,0.4262067810105742,1.0,1.52587890625e-05,scenario_id,65536
post_selector,22,128,16,86.65978170937659,0.38422906237862714,0.37330057051192855,1.0,1.52587890625e-05,scenario_id,65536
post_selector,23,128,16,96.52969679427841,0.3755832523969865,0.36465041063850584,1.0,1.52587890625e-05,scenario_id,65536
post_selector,24,128,16,108.7919183916989,0.3535228869958116,0.3420854500221792,1.0,1.52587890625e-05,scenario_id,65536
post_selector,25,128,16,119.78715898843754,0.3292024562972064,0.3180202134028047,1.0,1.52587890625e-05,scenario_id,65536
