query_phase,layer,head,mean_active_minus_inactive,cohens_d_vs_zero,abs_cohens_d,active_preference_rate,harmful_mean,benign_mean,n
post_selector,9,11,0.007646146794286279,2.827235975171602,2.827235975171602,1.0,0.007395406842988405,0.00789688674558415,64
post_selector,14,11,0.01138775430808887,2.0521942129745483,2.0521942129745483,0.984375,0.010234085762931456,0.012541422853246284,64
post_selector,18,13,-0.010790294130856588,-1.9445125529364455,1.9445125529364455,0.0,-0.01018065078824288,-0.011399937473470293,64
post_selector,21,31,0.01128233424242349,1.8931407799732023,1.8931407799732023,0.984375,0.011772995887440591,0.01079167259740639,64
post_selector,18,12,-0.010505183519853703,-1.891239936785881,1.891239936785881,0.015625,-0.011941074466449165,-0.009069292573258239,64
post_selector,9,10,0.009622055660656725,1.8746866236883462,1.8746866236883462,1.0,0.01014737382502058,0.009096737496292868,64
post_selector,19,30,-0.027417033779784064,-1.8492771158410755,1.8492771158410755,0.0,-0.03614545572781931,-0.018688611831748816,64
post_selector,15,5,0.004052185460750427,1.6956211861824704,1.6956211861824704,1.0,0.00340499680169154,0.004699374119809316,64
post_selector,24,21,0.0034014695120276385,1.6741073961198787,1.6741073961198787,1.0,0.0034391750959911834,0.0033637639280640935,64
post_selector,19,0,-0.010309521607268791,-1.6717781677535313,1.6717781677535313,0.03125,-0.011752891565265555,-0.008866151649272028,64
post_selector,21,18,0.011597326818446125,1.661647896554901,1.661647896554901,1.0,0.014617984852520709,0.00857666878437154,64
post_selector,13,14,0.022038222057744812,1.6585528637057576,1.6585528637057576,1.0,0.0238409305165987,0.020235513598890927,64
post_selector,16,23,0.047028320354002014,1.4614445017070483,1.4614445017070483,0.984375,0.03949138279131143,0.0545652579166926,64
post_selector,18,15,0.03154509793239409,1.4439043157607734,1.4439043157607734,1.0,0.021288127391017,0.041802068473771166,64
post_selector,16,17,-0.023594671398313907,-1.4435853301811523,1.4435853301811523,0.0,-0.0281882960698567,-0.019001046726771123,64
post_selector,18,11,-0.02621364832884861,-1.4289778956100687,1.4289778956100687,0.046875,-0.032872935524210306,-0.01955436113348692,64
post_selector,17,15,0.044154016337415614,1.4272897890527279,1.4272897890527279,1.0,0.03477447332988953,0.0535335593449417,64
post_selector,20,9,0.0020531278505586245,1.4266770476276085,1.4266770476276085,0.921875,0.0018577018872747042,0.002248553813842545,64
post_selector,20,15,0.037960846559144515,1.4013656457055998,1.4013656457055998,0.984375,0.029629001888679302,0.04629269122960973,64
post_selector,19,25,0.00607660907553505,1.3850830991017908,1.3850830991017908,0.921875,0.004056195379234821,0.008097022771835279,64
post_selector,9,8,0.0022254369350775505,1.3351462904254896,1.3351462904254896,0.953125,0.002124544167600065,0.002326329702555037,64
post_selector,22,11,0.004242047125444468,1.3205013578524674,1.3205013578524674,1.0,0.004060918559844097,0.004423175691044841,64
post_selector,23,5,0.005022634182751019,1.3119348926462118,1.3119348926462118,0.921875,0.004338718816143194,0.005706549549358843,64
post_selector,19,31,0.02467691832862324,1.2874426293161194,1.2874426293161194,0.984375,0.019095763898803797,0.030258072758442677,64
post_selector,17,4,0.02371790743563901,1.2837646152769622,1.2837646152769622,1.0,0.015004906752437762,0.03243090811884026,64
post_selector,26,26,0.0060105580305389195,1.254556873058477,1.254556873058477,0.921875,0.004019873824290662,0.008001242236787179,64
post_selector,19,21,-0.00315008233155819,-1.2487503681999759,1.2487503681999759,0.078125,-0.002856446000805559,-0.0034437186623108213,64
post_selector,21,11,0.01267253303376488,1.233643596182168,1.233643596182168,0.90625,0.009295714000472757,0.016049352067057,64
post_selector,26,24,0.003108274884652886,1.2286092226983543,1.2286092226983543,0.9375,0.002592811648355531,0.0036237381209502408,64
post_selector,20,12,-0.004529230496700572,-1.2057569876473382,1.2057569876473382,0.015625,-0.005148531279701222,-0.0039099297136999216,64
post_selector,30,27,0.0043124533312947815,1.189634029897804,1.189634029897804,0.875,0.0032610525486233815,0.0053638541139661815,64
post_selector,20,23,0.00903492791258028,1.180316328853851,1.180316328853851,0.921875,0.008011280035134372,0.010058575790026187,64
post_selector,12,28,-0.0022577916970476105,-1.1795725844387324,1.1795725844387324,0.109375,-0.0024679332163941217,-0.0020476501777010993,64
post_selector,32,10,0.0018089176201101067,1.1476001773452567,1.1476001773452567,0.9375,0.0011626328778219963,0.002455202362398217,64
post_selector,16,2,0.0014769305894332778,1.1431380315878799,1.1431380315878799,0.96875,0.0013783892036371595,0.0015754719752293957,64
post_selector,18,10,-0.008375570982025196,-1.138153333677216,1.138153333677216,0.046875,-0.008125186410325076,-0.008625955553725317,64
post_selector,17,12,0.004462440543647929,1.1326530409432203,1.1326530409432203,0.953125,0.004081858296558454,0.004843022790737403,64
post_selector,29,7,0.008959608907389314,1.1307742686912656,1.1307742686912656,0.84375,0.007078860013280043,0.010840357801498583,64
post_selector,24,29,0.013558746661146818,1.1238817944124235,1.1238817944124235,0.96875,0.010562303272308728,0.01655519004998491,64
post_selector,13,13,0.003970279054556113,1.117035239893858,1.117035239893858,0.984375,0.005071470985058063,0.0028690871240541634,64
post_selector,15,7,0.042201629665214534,1.1086701723752233,1.1086701723752233,0.859375,0.023143646278185742,0.061259613052243325,64
post_selector,14,7,0.02899811724819297,1.0954912076211711,1.0954912076211711,0.984375,0.019058571451751,0.03893766304463493,64
post_selector,23,10,0.029567368823336396,1.0827097574702906,1.0827097574702906,0.96875,0.028117395966546565,0.031017341680126237,64
post_selector,33,13,0.0025488007022431355,1.0656523011243955,1.0656523011243955,0.90625,0.0014819218322372468,0.0036156795722490248,64
post_selector,28,23,0.0036415460072020886,1.0540927525195505,1.0540927525195505,0.875,0.0020839528006035613,0.005199139213800615,64
post_selector,23,30,0.01050489525732698,1.0532962606070506,1.0532962606070506,0.84375,0.0075738885570899315,0.013435901957564028,64
post_selector,29,2,0.002420918858660985,1.0422408583373761,1.0422408583373761,0.921875,0.002223270254034974,0.0026185674632869956,64
post_selector,18,8,0.010792387271067093,1.041845780938953,1.041845780938953,0.859375,0.009525955523713447,0.012058819018420737,64
post_selector,24,5,0.0027641383853733324,1.0395864383691131,1.0395864383691131,0.890625,0.002718565996474315,0.00280971077427235,64
post_selector,12,31,0.024357907721423502,1.0325015368337032,1.0325015368337032,1.0,0.024029699678067083,0.02468611576477992,64
post_selector,33,10,0.003132034578811683,1.0294768070444027,1.0294768070444027,0.875,0.0013426165714917914,0.004921452586131575,64
post_selector,23,4,0.004815762369616963,1.0192862108720842,1.0192862108720842,0.890625,0.003862699057208333,0.005768825682025594,64
post_selector,31,30,0.005599667345450101,1.0192247719445144,1.0192247719445144,0.921875,0.004506377732468499,0.006692956958431704,64
