train_phase,test_phase,auroc_mean,auroc_std,bal_acc_mean
final_prompt,final_prompt,1.0,0.0,0.9805555555555556
final_prompt,post_selector,0.9963758680555556,0.009313114464579449,0.7618055555555556
final_prompt,pre_selector,0.5,0.0,0.5
final_prompt,public_task_span,0.7555374710648148,0.07055598509542846,0.5229166666666667
final_prompt,response_first,0.9747359664351852,0.034763636925964896,0.5006944444444444
final_prompt,response_mean,0.9925600405092593,0.013013338064793697,0.5270833333333333
post_selector,final_prompt,0.7870008680555556,0.13347769822788036,0.5458333333333333
post_selector,post_selector,1.0,0.0,1.0
post_selector,pre_selector,0.5,0.0,0.5
post_selector,public_task_span,0.785984519675926,0.06658226704152528,0.5317708333333333
post_selector,response_first,0.7213541666666666,0.1050326117424958,0.5362847222222222
post_selector,response_mean,0.918334056712963,0.049066288409348825,0.6989583333333333
pre_selector,final_prompt,0.5,0.0,0.5
pre_selector,post_selector,0.5,0.0,0.5
pre_selector,pre_selector,0.5,0.0,0.5
pre_selector,public_task_span,0.5,0.0,0.5
pre_selector,response_first,0.5,0.0,0.5
pre_selector,response_mean,0.5,0.0,0.5
public_task_span,final_prompt,0.9494683159722223,0.056237512332541754,0.5
public_task_span,post_selector,0.992335792824074,0.011276101813724126,0.693576388888889
public_task_span,pre_selector,0.5,1.0308162000485891e-17,0.5
public_task_span,public_task_span,0.993287037037037,0.014087520411327797,0.9538194444444444
public_task_span,response_first,0.9080186631944444,0.07021416842243662,0.5
public_task_span,response_mean,0.9763129340277777,0.021594229073202013,0.5
response_first,final_prompt,0.8419053819444444,0.20471525298008011,0.5927083333333333
response_first,post_selector,0.8310492621527777,0.19108575210699247,0.5522569444444444
response_first,pre_selector,0.5,0.0,0.5
response_first,public_task_span,0.7132486979166667,0.12309730112753534,0.5157986111111111
response_first,response_first,0.998900462962963,0.0031416956802334268,0.9836805555555556
response_first,response_mean,0.9931966145833333,0.022037314678696403,0.7118055555555556
response_mean,final_prompt,0.900513599537037,0.15406596309333886,0.5163194444444444
response_mean,post_selector,0.9994791666666667,0.002852721653672738,0.8017361111111111
response_mean,pre_selector,0.5,0.0,0.5
response_mean,public_task_span,0.7365559895833333,0.17841251027889557,0.5208333333333334
response_mean,response_first,0.9892758969907407,0.01604400582110432,0.6489583333333333
response_mean,response_mean,0.9998842592592593,0.0006339381452606052,0.9909722222222223
